R_ID	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units	Type
CDH15	5410-53_3	SL007295	Cadherin-15	CAD15	P55291	1013	CDH15	Human	RFU	Protein
CDH2	3797-1_1	SL000638	Cadherin-2	Cadherin-2	P19022	1000	CDH2	Human	RFU	Protein
CDH3	2643-57_2	SL004183	Cadherin-3	P-Cadherin	P22223	1001	CDH3	Human	RFU	Protein
CDH5	2819-23_2	SL002081	Cadherin-5	Cadherin-5	P33151	1003	CDH5	Human	RFU	Protein
CDH6	3591-51_3	SL004865	Cadherin-6	Cadherin-6	P55285	1004	CDH6	Human	RFU	Protein
CDK2.CCNA2	3357-67_2	SL010495	Cyclin-dependent kinase 2:Cyclin-A2 complex	CDK2/cyclin A	P24941 P20248	1017 890	CDK2 CCNA2	Human	RFU	Protein
CDK5.CDK5R1	3358-51_2	SL010496	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex	CDK5/p35	Q00535 Q15078	1020 8851	CDK5 CDK5R1	Human	RFU	Protein
CDK8.CCNC	3359-11_2	SL010522	Cyclin-dependent kinase 8:Cyclin-C complex	CDK8/cyclin C	P49336 P24863	1024 892	CDK8 CCNC	Human	RFU	Protein
CDKN1B	3719-2_2	SL000076	Cyclin-dependent kinase inhibitor 1B	p27Kip1	P46527	1027	CDKN1B	Human	RFU	Protein
CDNF	4962-52_1	SL012538	Cerebral dopamine neurotrophic factor	ARMEL	Q49AH0	441549	CDNF	Human	RFU	Protein
CDON	4541-49_2	SL014092	Cell adhesion molecule-related/down-regulated by oncogenes	CDON	Q4KMG0	50937	CDON	Human	RFU	Protein
CEBPB	10337-83_3	SL007136	CCAAT/enhancer-binding protein beta	CEBPB	P17676	1051	CEBPB	Human	RFU	Protein
CFB	4129-72_1	SL000414	Complement factor B	Factor B	P00751	629	CFB	Human	RFU	Protein
CFC1	3294-55_2	SL010451	Cryptic protein	CFC1	P0CG37	55997	CFC1	Human	RFU	Protein
CFD	2946-52_2	SL003327	Complement factor D	Factor D	P00746	1675	CFD	Human	RFU	Protein
CFH	4159-130_1	SL000415	Complement factor H	Factor H	P08603	3075	CFH	Human	RFU	Protein
CFHR5	3666-17_4	SL006830	Complement factor H-related protein 5	complement factor H-related 5	Q9BXR6	81494	CFHR5	Human	RFU	Protein
CFI	2567-5_6	SL003328	Complement factor I	Factor I	P05156	3426	CFI	Human	RFU	Protein
CFL1	4203-50_2	SL004920	Cofilin-1	Cofilin-1	P23528	1072	CFL1	Human	RFU	Protein
CFP	2960-66_2	SL003192	Properdin	Properdin	P27918	5199	CFP	Human	RFU	Protein
CGA.CGB	4914-10_1	SL001766	Human Chorionic Gonadotropin	HCG	P01215,P01233	1081 1082	CGA CGB	Human	RFU	Protein
CGA.FSHB	3032-11_2	SL000428	Follicle stimulating hormone	FSH	P01215,  P01225	1081 2488	CGA FSHB	Human	RFU	Protein
CGA.LHB	2953-31_2	SL000506	Luteinizing hormone	Luteinizing hormone	P01215, P01229	1081 3972	CGA LHB	Human	RFU	Protein
CGA.TSHB	3521-16_2	SL000589	Thyroid Stimulating Hormone	TSH	P01215 P01222	1081 12372	CGA TSHB	Human	RFU	Protein
CHEK1	2853-68_2	SL006911	Serine/threonine-protein kinase Chk1	CHK1	O14757	1111	CHEK1	Human	RFU	Protein
CHEK2	3360-50_4	SL003726	Serine/threonine-protein kinase Chk2	Chk2	O96017	11200	CHEK2	Human	RFU	Protein
CHGA	8476-11_3	SL002762	Chromogranin-A	CgA	P10645	1113	CHGA	Human	RFU	Protein
CHI3L1	11104-13_3	SL003340	Chitinase-3-like protein 1	YKL-40	P36222	1116	CHI3L1	Human	RFU	Protein
CHIT1	3600-2_3	SL006029	Chitotriosidase-1	Chitotriosidase-1	Q13231	1118	CHIT1	Human	RFU	Protein
CHKB	13117-232_3	SL018256	Choline/ethanolamine kinase	CHKB	Q9Y259	1120	CHKB	Human	RFU	Protein
CHL1	3601-54_3	SL008936	Neural cell adhesion molecule L1-like protein	CHL1	O00533	10752	CHL1	Human	RFU	Protein
CHRDL1	3362-61_2	SL009400	Chordin-like protein 1	CRDL1	Q9BU40	91851	CHRDL1	Human	RFU	Protein
CHST15	4469-78_2	SL007502	Carbohydrate sulfotransferase 15	ST4S6	Q7LFX5	51363	CHST15	Human	RFU	Protein
CHST2	4428-1_2	SL013988	Carbohydrate sulfotransferase 2	CHST2	Q9Y4C5	9435	CHST2	Human	RFU	Protein
CHST6	4429-51_2	SL014130	Carbohydrate sulfotransferase 6	CHST6	Q9GZX3	4166	CHST6	Human	RFU	Protein
CKAP2	5345-51_3	SL006675	Cytoskeleton-associated protein 2	CKAP2	Q8WWK9	26586	CKAP2	Human	RFU	Protein
CKB	3800-71_2	SL000377	Creatine kinase B-type	CK-BB	P12277	1152	CKB	Human	RFU	Protein
CKB.CKM	3714-49_2	SL000382	Creatine kinase M-type:Creatine kinase B-type heterodimer	CK-MB	P12277 P06732	1152 1158	CKB CKM	Human	RFU	Protein
CKM	2670-67_4	SL000383	Creatine kinase M-type	CK-MM	P06732	1158	CKM	Human	RFU	Protein
CLC	11094-104_3	SL007361	Galectin-10	LPPL	Q05315	1178	CLC	Human	RFU	Protein
CLEC11A	2966-65_2	SL004362	Stem Cell Growth Factor-beta	SCGF-beta	Q9Y240	6320	CLEC11A	Human	RFU	Protein
CLEC11A.1	4500-50_2	SL004363	Stem cell growth factor-alpha	SCGF-alpha	Q9Y240	6320	CLEC11A	Human	RFU	Protein
CLEC1B	4332-6_2	SL013488	C-type lectin domain family 1 member B	CLC1B	Q9P126	51266	CLEC1B	Human	RFU	Protein
CLEC4M	3030-3_2	SL005158	C-type lectin domain family 4 member M	DC-SIGNR	Q9H2X3	10332	CLEC4M	Human	RFU	Protein
CLEC7A	3603-60_5	SL007640	C-type lectin domain family 7 member A	CLC7A	Q9BXN2	64581	CLEC7A	Human	RFU	Protein
CLIC1	5013-2_1	SL004915	Chloride intracellular channel protein 1	NCC27	O00299	1192	CLIC1	Human	RFU	Protein
CLU	4542-24_2	SL001896	Clusterin	Clusterin	P10909	1191	CLU	Human	RFU	Protein
CMA1	3423-59_2	SL005250	Chymase	Chymase	P23946	1215	CMA1	Human	RFU	Protein
CMPK1	4786-58_3	SL007871	UMP-CMP kinase	Cytidylate kinase	P30085	51727	CMPK1	Human	RFU	Protein
CNDP1	5456-59_2	SL006694	Beta-Ala-His dipeptidase	CNDP1	Q96KN2	84735	CNDP1	Human	RFU	Protein
CNDP2	3192-3_2	SL002695	Cytosolic non-specific dipeptidase	Glutamate carboxypeptidase	Q96KP4	55748	CNDP2	Human	RFU	Protein
CNTF	3489-9_2	SL004331	Ciliary neurotrophic factor	CNTF	P26441	1270	CNTF	Human	RFU	Protein
CNTFR	2711-6_2	SL005153	Ciliary neurotrophic factor receptor subunit alpha	CNTFR alpha	P26992	1271	CNTFR	Human	RFU	Protein
CNTN1	2974-61_2	SL004855	Contactin-1	contactin-1	Q12860	1272	CNTN1	Human	RFU	Protein
CNTN2	3296-92_2	SL008623	Contactin-2	CNTN2	Q02246	6900	CNTN2	Human	RFU	Protein
CNTN4	3298-52_2	SL010454	Contactin-4	Contactin-4	Q8IWV2	152330	CNTN4	Human	RFU	Protein
CNTN5	3299-29_2	SL010455	Contactin-5	Contactin-5	O94779	53942	CNTN5	Human	RFU	Protein
COL18A1	2201-17_6	SL000403	Endostatin	Endostatin	P39060	80781	COL18A1	Human	RFU	Protein
COL23A1	4543-65_2	SL014048	Collagen alpha-1(XXIII) chain	CONA1	Q86Y22	91522	COL23A1	Human	RFU	Protein
COL8A1	4807-13_3	SL008072	Collagen alpha-1(VIII) chain	CO8A1	P27658	1295	COL8A1	Human	RFU	Protein
COLEC11	4430-44_3	SL006713	Collectin-11	Collectin Kidney 1	Q9BWP8	78989	COLEC11	Human	RFU	Protein
COLEC12	5457-5_2	SL007471	Collectin-12	COLEC12	Q5KU26	81035	COLEC12	Human	RFU	Protein
COMMD7	2823-7_1	SL004704	COMM domain-containing protein 7	COMMD7	Q86VX2	149951	COMMD7	Human	RFU	Protein
COTL1	4905-63_1	SL004814	Coactosin-like protein	Coactosin-like protein	Q14019	23406	COTL1	Human	RFU	Protein
CPB2	3518-54_2	SL004015	Carboxypeptidase B2	TAFI	Q96IY4	1361	CPB2	Human	RFU	Protein
CPE	5343-74_3	SL008703	Carboxypeptidase E	CBPE	P16870	1363	CPE	Human	RFU	Protein
CPNE1	5346-24_3	SL011808	Copine-1	CPNE1	Q99829	8904	CPNE1	Human	RFU	Protein
CRELD1	7628-40_3	SL012774	Cysteine-rich with EGF-like domain protein 1	CREL1	Q96HD1	78987	CRELD1	Human	RFU	Protein
CRISP3	3187-52_2	SL007284	Cysteine-rich secretory protein 3	CRIS3	P54108	10321	CRISP3	Human	RFU	Protein
CRK	4976-57_1	SL013240	Adapter molecule crk	CRK	P46108	1398	CRK	Human	RFU	Protein
CRLF1.CLCF1	2607-54_2	SL004692	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	CLF-1/CLC Complex	O75462 Q9UBD9	9244 23529	CRLF1 CLCF1	Human	RFU	Protein
CRLF2	2746-56_1	SL005226	Cytokine receptor-like factor 2	TSLP R	Q9HC73	64109	CRLF2	Human	RFU	Protein
CRP	4337-49_2	SL000051	C-reactive protein	CRP	P02741	1401	CRP	Human	RFU	Protein
CRTAM	5068-54_3	SL014208	Cytotoxic and regulatory T-cell molecule	CRTAM	O95727	56253	CRTAM	Human	RFU	Protein
CRYZL1	9207-60_3	SL018887	Quinone oxidoreductase-like protein 1	QORL1	O95825	9946	CRYZL1	Human	RFU	Protein
CSF1	3738-54_1	SL002684	Macrophage colony-stimulating factor 1	CSF-1	P09603	1435	CSF1	Human	RFU	Protein
CSF1R	2638-12_2	SL004153	Macrophage colony-stimulating factor 1 receptor	M-CSF R	P07333	1436	CSF1R	Human	RFU	Protein
CSF2	4697-59_2	SL001726	Granulocyte-macrophage colony-stimulating factor	GM-CSF	P04141	1437	CSF2	Human	RFU	Protein
CSF3	4840-73_1	SL001729	Granulocyte colony-stimulating factor	G-CSF	P09919	1440	CSF3	Human	RFU	Protein
CSF3R	2719-3_4	SL004591	Granulocyte colony-stimulating factor receptor	G-CSF-R	Q99062	1441	CSF3R	Human	RFU	Protein
CSH1.CSH2	13103-125_3	SL009328	Chorionic somatomammotropin hormone	CSH	P0DML2 P0DML3	1442 1443	CSH1 CSH2	Human	RFU	Protein
CSK	3363-31_4	SL004781	Tyrosine-protein kinase CSK	CSK	P41240	1445	CSK	Human	RFU	Protein
CSNK2A1	3427-63_2	SL007324	Casein kinase II subunit alpha	CSK21	P68400	1457	CSNK2A1	Human	RFU	Protein
CSNK2A1.CSNK2B	5225-50_3	SL016550	Casein kinase II 2-alpha:2-beta heterotetramer	CK2-A1:B	P68400 P67870	1457 1460	CSNK2A1 CSNK2B	Human	RFU	Protein
CSNK2A2.CSNK2B	5226-36_3	SL016551	Casein kinase II 2-alpha':2-beta heterotetramer	CK2-A2:B	P19784 P67870	1459 1460	CSNK2A2 CSNK2B	Human	RFU	Protein
CSRP3	9171-11_3	SL016969	Cysteine and glycine-rich protein 3	CSRP3	P50461	8048	CSRP3	Human	RFU	Protein
CST1	5459-33_3	SL010456	Cystatin-SN	CYTN	P01037	1469	CST1	Human	RFU	Protein
CST2	4324-33_2	SL008516	Cystatin-SA	CYTT	P09228	1470	CST2	Human	RFU	Protein
CST3	2609-59_2	SL001777	Cystatin-C	Cystatin C	P01034	1471	CST3	Human	RFU	Protein
CST4	3802-50_1	SL007888	Cystatin-S	Cystatin-S	P01036	1472	CST4	Human	RFU	Protein
CST5	3803-10_2	SL008382	Cystatin-D	CYTD	P28325	1473	CST5	Human	RFU	Protein
CST6	3303-23_2	SL004438	Cystatin-M	Cystatin M	Q15828	1474	CST6	Human	RFU	Protein
CST7	3302-58_1	SL007049	Cystatin-F	CYTF	O76096	8530	CST7	Human	RFU	Protein
CTF1	2889-37_2	SL002783	Cardiotrophin-1	Cardiotrophin-1	Q16619	1489	CTF1	Human	RFU	Protein
CTGF	2975-19_2	SL002655	Connective tissue growth factor	CTGF	P29279	1490	CTGF	Human	RFU	Protein
CTLA4	3022-4_2	SL000384	Cytotoxic T-lymphocyte protein 4	CTLA-4	P16410	1493	CTLA4	Human	RFU	Protein
CTSA	3179-51_2	SL009213	Lysosomal protective protein	Cathepsin A	P10619	5476	CTSA	Human	RFU	Protein
CTSB	3061-61_2	SL000343	Cathepsin B	Cathepsin B	P07858	1508	CTSB	Human	RFU	Protein
CTSC	3178-5_2	SL007280	Dipeptidyl peptidase 1	CATC	P53634	1075	CTSC	Human	RFU	Protein
CTSD	5508-62_3	SL000344	Cathepsin D	Cathepsin D	P07339	1509	CTSD	Human	RFU	Protein
CTSE	3594-6_5	SL007121	Cathepsin E	CATE	P14091	1510	CTSE	Human	RFU	Protein
CTSF	9212-22_3	SL008381	Cathepsin F	CATF	Q9UBX1	8722	CTSF	Human	RFU	Protein
CTSG	2431-17_3	SL000345	Cathepsin G	Cathepsin G	P08311	1511	CTSG	Human	RFU	Protein
CTSH	8465-52_3	SL000346	Cathepsin H	Cathepsin H	P09668	1512	CTSH	Human	RFU	Protein
CTSS	3181-50_2	SL004673	Cathepsin S	Cathepsin S	P25774	1520	CTSS	Human	RFU	Protein
CTSV	3364-76_2	SL006910	Cathepsin L2	Cathepsin V	O60911	1515	CTSV	Human	RFU	Protein
CTSZ	4971-1_1	SL008380	Cathepsin Z	CATZ	Q9UBR2	1522	CTSZ	Human	RFU	Protein
CX3CL1	2827-23_2	SL000427	Fractalkine	Fractalkine/CX3CL-1	P78423	6376	CX3CL1	Human	RFU	Protein
CXCL1	2985-35_1	SL003173	Growth-regulated alpha protein	Gro-a	P09341	2919	CXCL1	Human	RFU	Protein
CXCL10	4141-79_1	SL003183	C-X-C motif chemokine 10	IP-10	P02778	3627	CXCL10	Human	RFU	Protein
CXCL11	3038-9_2	SL003326	C-X-C motif chemokine 11	I-TAC	O14625	6373	CXCL11	Human	RFU	Protein
CXCL12	3516-60_2	SL004712	Stromal cell-derived factor 1	SDF-1	P48061	6387	CXCL12	Human	RFU	Protein
CXCL13	3487-32_2	SL003167	C-X-C motif chemokine 13	BLC	O43927	10563	CXCL13	Human	RFU	Protein
CXCL16	2436-49_4	SL004016	C-X-C motif chemokine 16	CXCL16, soluble	Q9H2A7	58191	CXCL16	Human	RFU	Protein
CXCL3.CXCL2	2986-49_2	SL017610	Gro-beta/gamma	Gro-b/g	P19876 P19875		CXCL3 CXCL2	Human	RFU	Protein
CXCL5	2979-8_2	SL003169	C-X-C motif chemokine 5	ENA-78	P42830	6374	CXCL5	Human	RFU	Protein
CXCL6	3495-15_2	SL003172	C-X-C motif chemokine 6	GCP-2	P80162	6372	CXCL6	Human	RFU	Protein
CXCL8	3447-64_2	SL000039	Interleukin-8	IL-8	P10145	3576	CXCL8	Human	RFU	Protein
CXCL9	9188-119_3	SL003188	C-X-C motif chemokine 9	MIG	Q07325	4283	CXCL9	Human	RFU	Protein
CYCS	2942-50_2	SL000396	Cytochrome c	Cytochrome c	P99999	54205	CYCS	Human	RFU	Protein
CYP3A4	2943-5_2	SL000398	Cytochrome P450 3A4	Cytochrome P450 3A4	P08684	1576	CYP3A4	Human	RFU	Protein
DAPK2	4355-13_1	SL007752	Death-associated protein kinase 2	DAPK2	Q9UIK4	23604	DAPK2	Human	RFU	Protein
DBNL	4978-54_2	SL011628	Drebrin-like protein	DBNL	Q9UJU6	28988	DBNL	Human	RFU	Protein
DCN	2666-53_2	SL004081	Decorin	Bone proteoglycan II	P07585	1634	DCN	Human	RFU	Protein
DCTN2	5879-51_3	SL009207	Dynactin subunit 2	Dynactin subunit 2	Q13561	10540	DCTN2	Human	RFU	Protein
DCTPP1	4314-12_2	SL011809	dCTP pyrophosphatase 1	XTP3A	Q9H773	79077	DCTPP1	Human	RFU	Protein
DDC	3538-26_1	SL009216	Aromatic-L-amino-acid decarboxylase	dopa decarboxylase	P20711	1644	DDC	Human	RFU	Protein
DDR1	4122-12_2	SL004119	Epithelial discoidin domain-containing receptor 1	discoidin domain receptor 1	Q08345	780	DDR1	Human	RFU	Protein
DDR2	3606-2_1	SL004120	Discoidin domain-containing receptor 2	Discoidin domain receptor 2	Q16832	4921	DDR2	Human	RFU	Protein
DDX19B	5460-60_3	SL004750	ATP-dependent RNA helicase DDX19B	DEAD-box protein 19B	Q9UMR2	11269	DDX19B	Human	RFU	Protein
DHH	4389-2_1	SL007003	Desert hedgehog protein N-product	DHH	O43323	50846	DHH	Human	RFU	Protein
DIABLO	3122-6_2	SL003733	Diablo homolog, mitochondrial	SMAC	Q9NR28	56616	DIABLO	Human	RFU	Protein
DKK1	3535-84_1	SL004367	Dickkopf-related protein 1	DKK1	O94907	22943	DKK1	Human	RFU	Protein
DKK3	3607-71_1	SL009412	Dickkopf-related protein 3	DKK3	Q9UBP4	27122	DKK3	Human	RFU	Protein
DKK4	3365-7_2	SL010612	Dickkopf-related protein 4	Dkk-4	Q9UBT3	27121	DKK4	Human	RFU	Protein
DKKL1	3644-5_4	SL010381	Dickkopf-like protein 1	Soggy-1	Q9UK85	27120	DKKL1	Human	RFU	Protein
DLL1	5349-69_3	SL006970	Delta-like protein 1	DLL1	O00548	28514	DLL1	Human	RFU	Protein
DLL4	3305-6_1	SL010457	Delta-like protein 4	DLL4	Q9NR61	54567	DLL4	Human	RFU	Protein
DNAJB1	3852-19_2	SL000449	DnaJ homolog subfamily B member 1	HSP 40	P25685	3337	DNAJB1	Human	RFU	Protein
DNAJC19	4545-53_3	SL006197	Mitochondrial import inner membrane translocase subunit TIM14	DnaJ homolog	Q96DA6	131118	DNAJC19	Human	RFU	Protein
DPP7	3608-12_1	SL008916	Dipeptidyl peptidase 2	DPP2	Q9UHL4	29952	DPP7	Human	RFU	Protein
DPT	4979-34_2	SL008178	Dermatopontin	DERM	Q07507	1805	DPT	Human	RFU	Protein
DSC2	13126-52_3	SL008631	Desmocollin-2	DSC2	Q02487	1824	DSC2	Human	RFU	Protein
DSC3	4981-6_1	SL008709	Desmocollin-3	DSC3	Q14574	1825	DSC3	Human	RFU	Protein
DSCAM	9175-48_3	SL018891	Down syndrome cell adhesion molecule	DSCAM	O60469	1826	DSCAM	Human	RFU	Protein
DSG1	2976-58_2	SL004856	Desmoglein-1	Desmoglein-1	Q02413	1828	DSG1	Human	RFU	Protein
DUSP3	3480-7_1	SL008122	Dual specificity protein phosphatase 3	DUS3	P51452	1845	DUSP3	Human	RFU	Protein
DYNLL1	3881-49_2	SL003753	Dynein light chain 1, cytoplasmic	DLC8	P63167	8655	DYNLL1	Human	RFU	Protein
DYNLRB1	3845-51_2	SL011530	Dynein light chain roadblock-type 1	DLRB1	Q9NP97	83658	DYNLRB1	Human	RFU	Protein
DYRK3	4359-87_1	SL013570	Dual specificity tyrosine-phosphorylation-regulated kinase 3	DYRK3	O43781	8444	DYRK3	Human	RFU	Protein
ECE1	3611-70_4	SL004060	Endothelin-converting enzyme 1	Endothelin-converting enzyme 1	P42892	1889	ECE1	Human	RFU	Protein
ECM1	3366-51_2	SL006550	Extracellular matrix protein 1	ECM1	Q16610	1893	ECM1	Human	RFU	Protein
EDA	2826-53_2	SL004644	Ectodysplasin-A, secreted form	EDA	Q92838	1896	EDA	Human	RFU	Protein
EDA2R	3083-71_1	SL005233	Tumor necrosis factor receptor superfamily member 27	XEDAR	Q9HAV5	60401	EDA2R	Human	RFU	Protein
EDAR	2977-7_2	SL004872	Tumor necrosis factor receptor superfamily member EDAR	EDAR	Q9UNE0	10913	EDAR	Human	RFU	Protein
EEF1B2	5882-34_2	SL005685	Elongation factor 1-beta	EF-1-beta	P24534	1933	EEF1B2	Human	RFU	Protein
EFEMP1	8480-29_3	SL006527	EGF-containing fibulin-like extracellular matrix protein 1	FBLN3	Q12805	2202	EFEMP1	Human	RFU	Protein
EFNA2	14124-6_3	SL004843	Ephrin-A2	Ephrin-A2	O43921	1943	EFNA2	Human	RFU	Protein
EFNA3	14153-8_3	SL004139	Ephrin-A3	Ephrin-A3	P52797	1944	EFNA3	Human	RFU	Protein
EFNA4	2614-28_2	SL004140	Ephrin-A4	Ephrin-A4	P52798	1945	EFNA4	Human	RFU	Protein
EFNA5	2615-60_2	SL004141	Ephrin-A5	Ephrin-A5	P52803	1946	EFNA5	Human	RFU	Protein
EFNB1	13104-32_3	SL008614	Ephrin-B1	EFNB1	P98172	1947	EFNB1	Human	RFU	Protein
EFNB2	14131-37_3	SL007274	Ephrin-B2	EFNB2	P52799	1948	EFNB2	Human	RFU	Protein
EFNB3	2514-65_3	SL004142	Ephrin-B3	Ephrin-B3	Q15768	1949	EFNB3	Human	RFU	Protein
EGF	5509-7_3	SL000084	Epidermal growth factor	EGF	P01133	1950	EGF	Human	RFU	Protein
EGFR	2677-1_1	SL002644	Epidermal growth factor receptor	ERBB1	P00533	1956	EGFR	Human	RFU	Protein
EGFR.1	5328-33_37	SL016828	Epidermal growth factor receptor variant III	EGFRvIII	P00533		EGFR	Human	RFU	Protein
EHMT2	5843-60_3	SL003542	Histone-lysine N-methyltransferase EHMT2	NG36	Q96KQ7	10919	EHMT2	Human	RFU	Protein
EIF4A3	4997-19_1	SL011616	Eukaryotic initiation factor 4A-III	IF4A3	P38919	9775	EIF4A3	Human	RFU	Protein
EIF4EBP2	4184-43_3	SL008378	Eukaryotic translation initiation factor 4E-binding protein 2	4EBP2	Q13542	1979	EIF4EBP2	Human	RFU	Protein
EIF4G2	4230-1_2	SL011211	Eukaryotic translation initiation factor 4 gamma 2	IF4G2	P78344	1982	EIF4G2	Human	RFU	Protein
EIF4H	5885-55_3	SL004924	Eukaryotic translation initiation factor 4H	eIF-4H	Q15056	7458	EIF4H	Human	RFU	Protein
EIF5	2612-5_2	SL004759	Eukaryotic translation initiation factor 5	eIF-5	P55010	1983	EIF5	Human	RFU	Protein
EIF5A	5888-29_3	SL005687	Eukaryotic translation initiation factor 5A-1	eIF-5A-1	P63241	1984	EIF5A	Human	RFU	Protein
ELANE	5308-89_2	SL000401	Neutrophil elastase	Elastase	P08246	1991	ELANE	Human	RFU	Protein
ENG	4908-6_1	SL004482	Endoglin	Endoglin	P17813	2022	ENG	Human	RFU	Protein
ENO1	11105-171_3	SL003650	Alpha-enolase	Alpha enolase	P06733	2023	ENO1	Human	RFU	Protein
ENO2	10339-48_3	SL001731	Gamma-enolase	NSE	P09104	2026	ENO2	Human	RFU	Protein
ENPP7	4435-66_2	SL009045	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	ENPP7	Q6UWV6	339221	ENPP7	Human	RFU	Protein
ENTPD1	3182-38_2	SL010371	Ectonucleoside triphosphate diphosphohydrolase 1	CD39	P49961	953	ENTPD1	Human	RFU	Protein
ENTPD3	4436-1_2	SL014093	Ectonucleoside triphosphate diphosphohydrolase 3	ENTP3	O75355	956	ENTPD3	Human	RFU	Protein
ENTPD5	4437-56_3	SL014028	Ectonucleoside triphosphate diphosphohydrolase 5	ENTP5	O75356	957	ENTPD5	Human	RFU	Protein
EPB41	4706-17_2	SL010830	Protein 4.1	41	P11171	2035	EPB41	Human	RFU	Protein
EPHA1	3431-54_2	SL004137	Ephrin type-A receptor 1	EphA1	P21709	2041	EPHA1	Human	RFU	Protein
EPHA10	5076-53_2	SL014294	Ephrin type-A receptor 10	EPHAA	Q5JZY3	284656	EPHA10	Human	RFU	Protein
EPHA2	4834-61_2	SL002654	Ephrin type-A receptor 2	Epithelial cell kinase	P29317	1969	EPHA2	Human	RFU	Protein
EPHA3	3432-21_2	SL010498	Ephrin type-A receptor 3	EPHA3	P29320	2042	EPHA3	Human	RFU	Protein
EPHA5	3806-55_1	SL004844	Ephrin type-A receptor 5	EphA5	P54756	2044	EPHA5	Human	RFU	Protein
EPHB2	5077-28_3	SL007179	Ephrin type-B receptor 2	EPHB2	P29323	2048	EPHB2	Human	RFU	Protein
EPHB4	3612-6_4	SL004845	Ephrin type-B receptor 4	EphB4	P54760	2050	EPHB4	Human	RFU	Protein
EPHB6	5078-82_3	SL008414	Ephrin type-B receptor 6	EphB6	O15197	2051	EPHB6	Human	RFU	Protein
EPO	5813-58_3	SL000408	Erythropoietin	Epo	P01588	2056	EPO	Human	RFU	Protein
EPOR	2715-25_2	SL005159	Erythropoietin receptor	EPO-R	P19235	2057	EPOR	Human	RFU	Protein
EPS15L1	4212-5_3	SL012188	Epidermal growth factor receptor substrate 15-like 1	EP15R	Q9UBC2	58513	EPS15L1	Human	RFU	Protein
ERAP1	4964-67_1	SL007729	Endoplasmic reticulum aminopeptidase 1	ARTS1	Q9NZ08	51752	ERAP1	Human	RFU	Protein
ERBB2	2616-23_18	SL000009	Receptor tyrosine-protein kinase erbB-2	ERBB2	P04626	2064	ERBB2	Human	RFU	Protein
ERBB3	2617-56_35	SL002519	Receptor tyrosine-protein kinase erbB-3	ERBB3	P21860	2065	ERBB3	Human	RFU	Protein
ERBB4	2618-10_2	SL003803	Receptor tyrosine-protein kinase erbB-4	ERBB4	Q15303	2066	ERBB4	Human	RFU	Protein
EREG	4956-2_1	SL000139	Epiregulin	EPI	O14944	2069	EREG	Human	RFU	Protein
ERP29	4983-6_1	SL003522	Endoplasmic reticulum resident protein 29	ERP29	P30040	10961	ERP29	Human	RFU	Protein
ESAM	2981-9_3	SL005160	Endothelial cell-selective adhesion molecule	ESAM	Q96AP7	90952	ESAM	Human	RFU	Protein
ESD	4984-83_1	SL006378	S-formylglutathione hydrolase	Esterase D	P10768	2098	ESD	Human	RFU	Protein
ESM1	3805-16_2	SL010458	Endothelial cell-specific molecule 1	Endocan	Q9NQ30	11082	ESM1	Human	RFU	Protein
ESR1	2945-25_1	SL000007	Estrogen receptor	ER	P03372	2099	ESR1	Human	RFU	Protein
ETHE1	3847-56_2	SL011532	Persulfide dioxygenase ETHE1, mitochondrial	ETHE1	O95571	23474	ETHE1	Human	RFU	Protein
F10	3077-66_2	SL003324	Coagulation factor Xa	Coagulation Factor Xa	P00742	2159	F10	Human	RFU	Protein
F10.1	4878-3_1	SL000360	Coagulation Factor X	Coagulation Factor X	P00742	2159	F10	Human	RFU	Protein
F11	2190-55_1	SL002662	Coagulation Factor XI	Coagulation Factor XI	P03951	2160	F11	Human	RFU	Protein
F2	4157-2_1	SL000586	Thrombin	Thrombin	P00734	2147	F2	Human	RFU	Protein
F2.1	5316-54_3	SL000558	Prothrombin	Prothrombin	P00734	2147	F2	Human	RFU	Protein
F3	4931-59_1	SL000024	Tissue Factor	TF	P13726	2152	F3	Human	RFU	Protein
F5	4906-35_1	SL000622	Coagulation Factor V	Coagulation Factor V	P12259	2153	F5	Human	RFU	Protein
F7	3184-25_2	SL000358	Coagulation factor VII	Coagulation Factor VII	P08709	2155	F7	Human	RFU	Protein
F9	4876-32_1	SL000357	Coagulation factor IX	Coagulation Factor IX	P00740	2158	F9	Human	RFU	Protein
F9.1	5307-12_3	SL004400	Coagulation factor IXab	Coagulation Factor IXab	P00740	2158	F9	Human	RFU	Protein
FABP1	11516-7_3	SL006131	Fatty acid-binding protein, liver	FABPL	P07148	2168	FABP1	Human	RFU	Protein
FABP3	5437-63_3	SL001774	Fatty acid-binding protein, heart	FABP	P05413	2170	FABP3	Human	RFU	Rat Protein
FABP5	4985-11_1	SL005352	Fatty acid-binding protein, epidermal	FABPE	Q01469	2171	FABP5	Human	RFU	Protein
FAM107A	2760-2_2	SL004752	Protein FAM107A	DRR1	O95990	11170	FAM107A	Human	RFU	Protein
FAM107B	4774-62_3	SL016129	Protein FAM107B	FAM107B	Q9H098	83641	FAM107B	Human	RFU	Protein
